,Title_ID,Title,Year,Runtime_Minutes,Genres,Lifetime_Gross
1815,tt2006295,The 33,2015,127.0,"Biography,Drama,History",12227722.0
1816,tt2011232,Sigur Rós: Inni,2011,74.0,"Documentary,Music",123482.0
1817,tt2033981,Downloaded,2013,106.0,Documentary,8377.0
1818,tt2034031,Laggies,2014,99.0,"Comedy,Drama,Romance",1066981.0
1819,tt2063666,Hello I Must Be Going,2012,95.0,"Comedy,Drama,Romance",106709.0
1820,tt2118702,Patience (After Sebald),2012,86.0,Documentary,15941.0
1821,tt2121382,Turist,2014,120.0,"Comedy,Drama",1359497.0
1822,tt2124074,28 Hotel Rooms,2012,82.0,"Drama,Romance",18869.0
1823,tt2140373,Saving Mr. Banks,2013,125.0,"Biography,Comedy,Drama",83301580.0
1824,tt2141751,God Help the Girl,2014,112.0,"Drama,Music,Romance",102757.0
1825,tt2609912,Kevin Hart: Let Me Explain,2013,75.0,"Comedy,Documentary",32244051.0
1826,tt2700330,The Two Escobars,2010,104.0,"Biography,Documentary,Sport",14457.0
1827,tt2784678,Top Five,2014,102.0,"Comedy,Romance",25317379.0
1828,tt2799166,The Pyramid,2014,89.0,"Action,Adventure,Horror",2756333.0
1829,tt2869728,Ride Along 2,2016,102.0,"Action,Comedy,Crime",91221830.0
1830,tt2870808,Life Partners,2014,93.0,"Comedy,Drama,Romance",8265.0
1831,tt3567200,The Great Invisible,2014,92.0,Documentary,11428.0
1832,tt4520364,Morgan,2016,92.0,"Action,Horror,Sci-Fi",3915251.0
1833,tt4566780,Gray Matter,2018,85.0,Sci-Fi,38034.0
1834,tt4572792,The Book of Henry,2017,105.0,"Crime,Drama,Thriller",4504974.0
1835,tt4624424,Storks,2016,87.0,"Adventure,Animation,Comedy",72679278.0
1836,tt2205904,Generation Iron,2013,106.0,"Documentary,Drama,Sport",849521.0
1837,tt2215366,From Beneath,2012,82.0,Thriller,144123.0
1838,tt2215477,Goliyon Ki Rasleela Ram-Leela,2013,150.0,"Drama,Musical,Romance",2738863.0
1839,tt2815720,Straight Outta Tompkins,2015,92.0,Drama,8022.0
1840,tt2980516,The Theory of Everything,2014,123.0,"Biography,Drama,Romance",35893537.0
1841,tt2980728,Touch the Wall,2014,101.0,"Documentary,Family,Sport",12156.0
1842,tt3110958,Now You See Me 2,2016,129.0,"Action,Adventure,Comedy",65075540.0
1843,tt3263520,Ivory Tower,2014,90.0,"Documentary,Family,History",106771.0
1844,tt3263996,The Overnighters,2014,102.0,"Documentary,Drama",110763.0
1845,tt3283556,Land Ho!,2014,95.0,"Adventure,Comedy",727594.0
1846,tt3302594,El misterio de la felicidad,2014,92.0,"Comedy,Drama,Romance",8528.0
1847,tt3371366,Transformers: The Last Knight,2017,154.0,"Action,Adventure,Sci-Fi",130168683.0
1848,tt3387542,The Forest,2016,93.0,"Horror,Mystery,Thriller",26594261.0
1849,tt3421318,30-Love,2017,103.0,"Comedy,Drama,Romance",4392.0
1850,tt3498820,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi",408084349.0
1851,tt3521126,The Disaster Artist,2017,104.0,"Biography,Comedy,Drama",21120616.0
1852,tt4242158,Gang jiong,2015,114.0,"Action,Adventure,Comedy",1302281.0
1853,tt4341582,Queen of Katwe,2016,124.0,"Biography,Drama,Sport",8874389.0
1854,tt4385888,20th Century Women,2016,119.0,"Comedy,Drama",5664764.0
1855,tt4424722,7 Witches,2017,75.0,"Horror,Thriller",31100.0
1856,tt4506722,The Armor of Light,2015,88.0,"Documentary,News",12267.0
1857,tt4729990,Slash,2016,100.0,"Comedy,Fantasy,Romance",5902.0
1858,tt4786638,Eli,2015,154.0,Comedy,13547.0
1859,tt4958448,Museo,2018,128.0,"Crime,Drama",148505.0
1860,tt2402985,Ping Pong Summer,2014,92.0,"Comedy,Drama,Sport",52909.0
1861,tt2450186,V/H/S/2,2013,96.0,"Horror,Thriller",21833.0
1862,tt2481246,Caucus,2013,104.0,Documentary,10645.0
1863,tt2489734,The Trials of Muhammad Ali,2013,86.0,"Biography,Documentary,Sport",59081.0
1864,tt2558484,The Things We Leave Behind,2013,111.0,Drama,20158898.0
1865,tt2609758,A Madea Christmas,2013,100.0,"Comedy,Drama,Romance",52543354.0
1866,tt2630916,Pump!,2014,88.0,Documentary,89787.0
1867,tt2674426,Me Before You,2016,106.0,"Drama,Romance",56245075.0
